,features,pvalues
0,function,0.8745236313927542
1,pronoun,0.3263394344478674
2,ppron,0.006258831706805216
3,i,0.9760286479168007
4,we,
5,you,
6,shehe,0.004796395084313572
7,they,
8,ipron,0.4089288626973082
9,article,
10,prep,0.5940434822824284
11,auxverb,0.26015404436342854
12,adverb,0.8459995483178762
13,conj,
14,negate,0.6805065853128149
15,verb,0.7174005047108922
16,adj,0.8291878288342308
17,compare,0.7894858589218905
18,interrog,
19,number,0.01639288266732244
20,quant,0.13039266344518702
21,affect,0.5059897355898679
22,posemo,0.27240942305452126
23,negemo,0.2486488889687715
24,anx,0.5228162997574687
25,anger,0.464047712976971
26,sad,0.28201382522997365
27,social,0.5431615213063807
28,family,0.19739798219881077
29,friend,0.8913872941917724
30,female,1.478808419442545e-06
31,male,2.4874872772320686e-06
32,cogproc,0.9509405772819673
33,insight,0.9601917064480139
34,cause,0.2644921376502613
35,discrep,0.4292734268609111
36,tentat,0.679613852954405
37,certain,0.5883381597407884
38,differ,0.3928917192060828
39,percept,0.15509876071052955
40,see,0.1399037019138823
41,hear,0.017716251627116247
42,feel,0.23905535950191698
43,bio,0.35655857374285704
44,body,0.7428226143511087
45,health,0.3983029939199273
46,sexual,0.11389614338792049
47,ingest,0.1123573201582865
48,drives,0.7964862246769883
49,affiliation,0.25794521495201234
50,achieve,0.4461405358525219
51,power,0.4013607606139922
52,reward,0.9792702491053362
53,risk,0.44131383804220436
54,focuspast,0.48256644970253604
55,focuspresent,0.9401873926452914
56,focusfuture,0.9549665614863336
57,relativ,0.43161764574586536
58,motion,0.12152470540502161
59,space,0.32708929764844097
60,time,0.7824636883716065
61,work,0.917385622441513
62,leisure,0.5834636973025576
63,home,0.6784387851714853
64,money,0.936431055108603
65,relig,0.866343675975315
66,death,0.7368892890684045
67,informal,0.8335599521479672
68,swear,0.6335561840621862
69,netspeak,
70,assent,0.7919065988401988
71,nonflu,0.9104609018809806
72,filler,
73,positive,0.5178078856607924
74,negative,0.21204509906612237
75,anger_nrc,0.4799129408336845
76,anticipation,0.5792727727454217
77,disgust,0.7137136154651831
78,fear,0.21261461008159618
79,joy,0.355769301072798
80,sadness,0.4524595551420614
81,surprise,0.13257058812635403
82,trust,0.4090836183471461
