,features,pvalues
0,function,0.6934278786901364
1,pronoun,0.9040643759879223
2,ppron,0.5885305011142326
3,i,0.3238313086695941
4,we,
5,you,
6,shehe,0.19830303906170801
7,they,
8,ipron,0.8676741383241959
9,article,
10,prep,0.930872489929927
11,auxverb,0.2356167409176447
12,adverb,0.4096098647523396
13,conj,
14,negate,0.8883790208850372
15,verb,0.3797134329512649
16,adj,0.9388739992841877
17,compare,0.7129147046077855
18,interrog,
19,number,0.9738618627224779
20,quant,0.18129585257461234
21,affect,0.8027092539243509
22,posemo,0.8973228803585223
23,negemo,0.8224637685098304
24,anx,0.8831260993815353
25,anger,0.3208007732687684
26,sad,0.9761809018218308
27,social,0.07220054579033164
28,family,0.047687681779252075
29,friend,0.595170408090478
30,female,0.023851095856008885
31,male,0.7247412729870295
32,cogproc,0.27869117556396084
33,insight,0.10145517932197429
34,cause,0.17169083606878957
35,discrep,0.8859752393675675
36,tentat,0.6683410620535482
37,certain,0.783140654960369
38,differ,0.6827903816709426
39,percept,0.27149600349258496
40,see,0.987284198185737
41,hear,0.8060984947091819
42,feel,0.26859917676075235
43,bio,0.6410519222444575
44,body,0.9157778064550572
45,health,0.6504888739371755
46,sexual,0.5176942290058734
47,ingest,0.9872722806945374
48,drives,0.5366417431398136
49,affiliation,0.3559585801782703
50,achieve,0.5901909727980592
51,power,0.5986111634876347
52,reward,0.9817208585117059
53,risk,0.8318384057870125
54,focuspast,0.7696248732328406
55,focuspresent,0.5948165264759109
56,focusfuture,0.7793758973941118
57,relativ,0.8875289484127036
58,motion,0.8237073951058873
59,space,0.8496524052196344
60,time,0.5010012352962012
61,work,0.5664830544847277
62,leisure,0.17727118536997724
63,home,0.12634361304815583
64,money,0.834682741693515
65,relig,0.9445826756309195
66,death,0.689775630378545
67,informal,0.8315435634242863
68,swear,0.5993077937141575
69,netspeak,
70,assent,0.5554358028984254
71,nonflu,0.32588430133070034
72,filler,
73,positive,0.5572075899049279
74,negative,0.22785166862910466
75,anger_nrc,0.08655303758193288
76,anticipation,0.5391776599557907
77,disgust,0.9630040463979268
78,fear,0.1921593964885598
79,joy,0.8547708856336191
80,sadness,0.45779986429662456
81,surprise,0.3827542013733789
82,trust,0.8195793641309785
