verb,MoreAuthority_Label,Ann1_raw,Ann2_raw,Ann3_raw,,,,
abandons,Agent,Agent,Agent,Agent,1222,Agent,70.35%,FALSE
abolishes,Agent,Agent,Agent,Agent,309,Equal,17.79%,FALSE
absorbs,Agent,Agent,equal,Agent,206,Theme,11.86%,FALSE
abuses,Agent,Agent,Agent,Agent,,,,FALSE
accelerates,Agent,equal,equal,Agent,,,,FALSE
accepts,Agent,Agent,Agent,Agent,,,,FALSE
accesses,Agent,equal,Agent,Agent,,,,FALSE
accommodates,equal,Agent,equal,Theme,,,,TRUE
accompanies,Theme,Theme,equal,equal,,,,FALSE
accomplishes,equal,equal,Agent,Theme,,,,TRUE
accords,Agent,equal,Agent,Agent,,,,FALSE
accounts,Agent,Agent,equal,equal,,,,FALSE
accumulates,Agent,Agent,equal,equal,,,,FALSE
accuses,Agent,Agent,equal,equal,,,,FALSE
achieves,Theme,Theme,Agent,Theme,,,,FALSE
acknowledges,Agent,Agent,equal,equal,,,,FALSE
acquaints,Agent,Agent,equal,equal,,,,FALSE
acquires,Agent,Agent,Agent,Agent,,,,FALSE
acquits,Agent,Agent,Agent,Theme,,,,FALSE
activates,Agent,Agent,Agent,Agent,,,,FALSE
adapts,Agent,equal,equal,Agent,,,,FALSE
addresses,equal,equal,equal,equal,,,,FALSE
adds,Agent,Agent,equal,equal,,,,FALSE
adjoins,Agent,Agent,Agent,equal,,,,FALSE
adjusts,Agent,Agent,equal,Agent,,,,FALSE
administers,Agent,Agent,Agent,Agent,,,,FALSE
admires,Theme,Theme,Theme,Theme,,,,FALSE
admits,Theme,equal,Theme,equal,,,,FALSE
adopts,Agent,Agent,equal,Agent,,,,FALSE
adores,Theme,equal,equal,Theme,,,,FALSE
adorns,Theme,Agent,Theme,Theme,,,,FALSE
advances,Agent,Agent,Agent,equal,,,,FALSE
advertises,Agent,equal,Agent,equal,,,,FALSE
advises,Agent,equal,Agent,Agent,,,,FALSE
advocates,equal,equal,equal,equal,,,,FALSE
affects,Agent,Agent,Agent,Agent,,,,FALSE
affirms,Agent,Agent,equal,Agent,,,,FALSE
affixes,Agent,equal,Agent,Agent,,,,FALSE
affords,Agent,Agent,Agent,equal,,,,FALSE
aggravates,Theme,Theme,equal,equal,,,,FALSE
